order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit
O00042,13-01-2025,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37,32.26,18.11
O00043,28-05-2025,C0660,P0888,Online,Online,2,99.91,0.05,189.83,50.37,89.09
O00044,09-12-2024,C0065,P1100,Online,Online,1,74.54,0,74.54,42.65,31.89
O00045,10-05-2025,C0549,P1085,S033,In-Store,2,42.67,0,85.34,36.58,12.18
O00046,09-02-2025,C0212,P0240,Online,Online,10,85.49,0.05,812.16,52.45,287.66
O00047,01-08-2024,C0457,P0643,Online,Online,1,252.43,0.05,239.81,137.05,102.76
O00048,29-08-2025,C0668,P0330,Online,Online,1,355.55,0.1,320,189.35,130.65
O00049,02-05-2025,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79,115.36,218.71
O00050,13-07-2024,C0557,P0351,S017,In-Store,1,170.33,0,170.33,106.14,64.19
O00051,05-07-2025,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72,60.93,-11.07
O00052,07-06-2024,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6,131.24,73.36
O00053,19-10-2024,C0678,P0091,Online,Online,1,27.29,0.05,25.93,20.11,5.82
O00054,20-07-2024,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36,198.93,58.43
O00055,12-05-2024,C0746,P0864,Online,Online,3,113.48,0.1,306.4,63.42,116.14
O00056,27-05-2024,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25,118.75,3.5
O00057,30-03-2025,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86,179.45,54.41
O00058,24-08-2024,C0713,P0394,S036,In-Store,2,219,0.05,416.1,165.56,84.98
O00059,06-11-2024,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96,105.87,11.22
O00060,19-04-2025,C0618,P0506,Online,Online,3,76.44,0,229.32,44.45,95.97
O00061,03-01-2025,C0700,P1123,S021,In-Store,3,75.06,0,225.18,58.9,48.48
O00062,09-03-2025,C0341,P0559,Online,Online,1,286.97,0.05,272.62,166.15,106.47
O00063,22-06-2024,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09,102.72,-5.63
O00064,20-08-2024,C0596,P0252,Online,Online,1,231.15,0.1,208.04,196.57,11.47
O00065,17-07-2024,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12,77.35,117.42
O00066,01-11-2024,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74,119.34,77.4
O00067,04-02-2025,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11,58.2,26.91
O00068,12-06-2025,C0130,P0530,Online,Online,2,274.32,0.05,521.21,147.34,226.53
O00069,13-02-2025,C0146,P0775,S017,In-Store,1,22.99,0,22.99,12.88,10.11
O00070,22-02-2025,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05,135.84,78.37
O00071,12-07-2024,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4,167.86,-4.46
O00072,01-05-2024,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81,156.25,16.56
O00073,04-05-2025,C0089,P0625,S020,In-Store,1,249.56,0,249.56,178.47,71.09
O00074,24-11-2025,C0078,P0491,S010,In-Store,2,205.2,0,410.4,156.25,97.9
O00075,14-12-2024,C0292,P1134,S051,In-Store,3,40.51,0,121.53,26.67,41.52
O00076,29-10-2024,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72,93.33,8.39
O00077,09-09-2025,C0701,P1090,S025,In-Store,1,32.87,0,32.87,18.73,14.14
O00078,02-06-2025,C0763,P0014,Online,In-Store,1,34.42,0.1,30.98,17.91,13.07
O00079,06-01-2025,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04,16.09,4.95
O00080,22-10-2024,C0690,P1072,S011,In-Store,1,200.65,0,200.65,138.28,62.37
O00081,11-03-2025,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74,126.53,26.21
O00082,13-05-2025,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19,143.88,85.31
O00083,05-06-2024,C0784,P0241,Online,Online,1,195.47,0.2,156.38,150.43,5.95
O00084,05-11-2025,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55,71.35,-1.15
O00085,15-03-2025,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33,115.79,89.75
O00086,20-06-2024,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05,116.12,41.93
O00087,12-09-2024,C0362,P0219,Online,Online,2,125.63,0.05,238.7,73.95,90.8
O00088,31-05-2025,C0009,P0207,S012,In-Store,1,176.19,0,176.19,97.87,78.32
O00089,04-05-2024,C0157,P0841,Online,Online,10,101.01,0.2,808.08,53.94,268.68
O00090,19-09-2025,C0787,P0512,Online,Online,3,258.13,0.2,619.51,140.64,197.59
O00091,26-08-2024,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76,179.66,103.78
O00092,01-03-2025,C0449,P0899,Online,Online,1,118.47,0.1,106.62,99.65,6.97
O00093,18-03-2025,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03,158.32,57.39
O00094,25-11-2025,C0291,P0082,Online,Online,2,177.36,0.2,283.78,136.2,11.38
O00095,27-02-2025,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83,105.42,-4.59
O00096,14-04-2025,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66,51.07,-1.48
O00097,15-02-2025,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1,104.16,-33.38
O00098,30-05-2024,C0759,P0796,Online,Online,1,87.96,0,87.96,77.22,10.74
O00099,06-09-2025,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09,64.3,11.79
O00100,28-02-2025,C0350,P0879,S047,In-Store,3,168.21,0,504.63,148.84,58.11
O00101,17-12-2025,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42,154.53,185.36
O00102,21-09-2025,C0156,P1047,Online,Online,2,126.31,0.1,227.36,79.41,68.54
O00103,13-01-2025,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24,44.45,56.34
O00104,04-12-2025,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25,123.62,25.01
O00105,25-07-2024,C0605,P0304,Online,Online,1,138.55,0.05,131.62,77.54,54.08
O00106,19-08-2025,C0280,P0393,S027,In-Store,3,301.95,0,905.85,152.45,448.5
O00107,19-12-2025,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55,131.78,246.21
O00108,16-07-2024,C0236,P0454,S030,In-Store,1,57.81,0,57.81,39.64,18.17
O00109,01-05-2024,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16,43.88,0.28
O00110,16-10-2024,C0359,P0856,Online,Online,1,72.18,0,72.18,53.24,18.94
O00111,23-06-2025,C0000,P0106,S020,In-Store,2,117.1,0.05,222.49,97.34,27.81
O00112,12-09-2025,C0286,P0206,Online,In-Store,2,44.72,0.2,71.55,38.98,-6.41
O00113,11-05-2025,C0311,P0228,Online,Online,1,59.1,0,59.1,35.69,23.41
O00114,26-03-2025,C0788,P0266,S047,In-Store,3,273.92,0.1,739.58,151.72,284.42
O00115,03-02-2025,C0603,P1083,S015,In-Store,1,186.78,0.1,168.1,140.65,27.45
O00116,07-09-2025,C0393,P0178,S008,In-Store,2,129.07,0,258.14,94.08,69.98
O00117,09-09-2025,C0670,P0390,Online,Online,1,178.02,0.2,142.42,92.46,49.96
O00118,14-06-2025,C0076,P1119,S019,In-Store,1,64.93,0.2,51.94,51.65,0.29
O00119,13-08-2025,C0206,P1092,S002,In-Store,1,48.28,0.05,45.87,34.56,11.31
O00120,29-12-2024,C0563,P0517,S048,In-Store,2,203.43,0.1,366.17,172.69,20.79
O00121,01-03-2025,C0459,P0240,S004,In-Store,1,85.49,0.2,68.39,52.45,15.94
O00122,03-07-2024,C0515,P0044,Online,Online,1,22.6,0.1,20.34,14.78,5.56
O00123,24-06-2025,C0132,P0593,Online,Online,2,71.58,0,143.16,37.74,67.68
O00124,16-11-2024,C0710,P0389,S025,In-Store,1,277.24,0.2,221.79,154.95,66.84
O00125,25-05-2025,C0525,P0153,Online,Online,1,56.67,0.2,45.34,28.68,16.66
O00126,19-04-2025,C0399,P0820,S013,In-Store,30,310.73,0.05,8855.8,193.38,3054.4
O00127,13-08-2024,C0585,P0446,S000,In-Store,3,89.71,0.2,215.3,61.91,29.57
O00128,16-08-2024,C0737,P1075,Online,Online,1,285.01,0.05,270.76,191.46,79.3
O00129,24-02-2025,C0274,P1130,Online,Online,2,208.54,0.05,396.23,178.82,38.59
O00130,03-05-2024,C0243,P0597,Online,Online,1,105.66,0.05,100.38,73.49,26.89
O00131,15-05-2025,C0284,P0272,Online,Online,2,43.92,0,87.84,22.88,42.08
O00132,28-01-2025,C0254,P0430,S000,In-Store,2,126.13,0.1,227.03,78.96,69.11
O00133,14-04-2024,C0377,P0664,Online,Online,1,191.74,0.1,172.57,109.09,63.48
O00134,16-01-2025,C0418,P0603,S003,In-Store,1,31.8,0,31.8,24.75,7.05
O00135,07-05-2024,C0224,P0572,Online,Online,1,271.22,0,271.22,177.14,94.08
O00136,28-04-2025,C0796,P1194,Online,Online,1,50.75,0.2,40.6,33.5,7.1
O00137,10-01-2025,C0263,P1128,Online,Online,1,153.7,0.2,122.96,86.72,36.24
O00138,25-12-2025,C0275,P0417,S051,In-Store,1,56.54,0.2,45.23,43.26,1.97
O00139,17-01-2025,C0237,P0888,S057,In-Store,1,99.91,0.2,79.93,50.37,29.56
O00140,05-10-2024,C0185,P0940,Online,Online,2,21.41,0.05,40.68,16.72,7.24
O00141,10-07-2025,C0502,P0369,S001,In-Store,3,314.41,0.1,848.91,197.87,255.3
O00142,01-06-2024,C0181,P0807,S012,In-Store,1,135.25,0,135.25,80.88,54.37
O00143,23-04-2024,C0436,P0502,S041,In-Store,2,256.28,0.2,410.05,165.85,78.35
O00144,03-05-2024,C0539,P0281,S051,In-Store,2,197.67,0,395.34,145.12,105.1
O00145,22-03-2025,C0386,P0786,Online,Online,2,21.67,0,43.34,13.41,16.52
O00146,21-10-2025,C0659,P0089,Online,Online,2,229.1,0,458.2,150.01,158.18
O00147,24-12-2024,C0642,P0027,S000,In-Store,2,236.79,0,473.58,189.64,94.3
O00148,22-05-2025,C0346,P0174,Online,Online,2,178.88,0.2,286.21,123.85,38.51
O00149,14-06-2024,C0454,P0334,S030,In-Store,1,135.83,0.05,129.04,118.75,10.29
O00150,30-06-2024,C0556,P0547,S007,In-Store,2,235.33,0,470.66,147.83,175
O00151,27-01-2025,C0105,P1115,Online,Online,2,265.8,0.2,425.28,159.26,106.76
O00152,18-02-2025,C0229,P0049,Online,Online,1,186.29,0.2,149.03,135.98,13.05
O00153,28-04-2025,C0671,P0587,Online,Online,2,78.06,0.2,124.9,63.84,-2.78
O00154,27-06-2025,C0732,P0230,S007,In-Store,2,73.43,0.05,139.52,47.04,45.44
O00155,26-09-2024,C0288,P0731,Online,Online,1,138.18,0.1,124.36,113.54,10.82
O00156,29-01-2025,C0086,P0088,S011,In-Store,3,361.93,0.2,868.63,190.26,297.85
O00157,09-06-2024,C0614,P0371,S009,In-Store,4,229.56,0.1,826.42,131.42,300.74
O00158,03-09-2025,C0293,P0713,S017,In-Store,1,175.75,0.2,140.6,139.9,0.7
O00159,20-07-2024,C0271,P0156,S055,In-Store,1,140.3,0.05,133.28,104.23,29.05
O00160,30-09-2024,C0150,P0655,Online,Online,2,25.85,0.2,41.36,15.47,10.42
O00161,16-04-2024,C0526,P0979,S007,In-Store,2,117.11,0.2,187.38,65.36,56.66
O00162,12-12-2025,C0285,P0296,Online,Online,1,34.89,0.05,33.15,25.01,8.14
O00163,26-08-2025,C0394,P0722,S027,In-Store,3,17.67,0.2,42.41,15.35,-3.64
O00164,22-01-2025,C0423,P0682,Online,Online,1,197.42,0.05,187.55,130.65,56.9
O00165,27-03-2025,C0562,P1018,S031,In-Store,2,167.01,0.05,317.32,129.58,58.16
O00166,14-07-2024,C0594,P0863,S049,In-Store,1,109.7,0.05,104.22,72.06,32.16
O00167,15-07-2025,C0240,P0740,Online,Online,3,149.47,0,448.41,110.35,117.36
O00168,29-09-2024,C0485,P0273,S003,In-Store,3,125.14,0.1,337.88,85.9,80.18
O00169,02-01-2025,C0797,P0285,Online,Online,1,86.63,0.05,82.3,74.63,7.67
O00170,18-07-2025,C0564,P0862,Online,Online,1,105.88,0.05,100.59,85.38,15.21
O00171,09-04-2025,C0141,P0240,S045,In-Store,2,85.49,0.05,162.43,52.45,57.53
O00172,05-07-2024,C0026,P0869,S044,In-Store,1,216.72,0,216.72,171.43,45.29
O00173,08-01-2025,C0075,P0976,S055,In-Store,1,290.2,0.05,275.69,146.74,128.95
O00174,04-08-2025,C0374,P0289,Online,Online,2,17.32,0,34.64,13.54,7.56
O00175,12-12-2025,C0426,P0306,S030,In-Store,1,148.17,0.05,140.76,102.31,38.45
O00176,19-10-2025,C0715,P0613,S046,In-Store,1,316.84,0.1,285.16,194.29,90.87
O00177,22-09-2025,C0660,P0027,Online,Online,1,236.79,0.05,224.95,189.64,35.31
O00178,21-03-2025,C0657,P0065,S011,In-Store,1,103.15,0.05,97.99,57.03,40.96
O00179,11-11-2024,C0433,P0930,S053,In-Store,3,201.43,0.1,543.86,135.99,135.89
O00180,15-08-2025,C0513,P0626,S027,In-Store,1,352.02,0.05,334.42,184.56,149.86
O00181,09-05-2024,C0094,P1068,S017,In-Store,2,222.82,0.05,423.36,121.13,181.1
O00182,07-04-2025,C0410,P0114,Online,Online,1,291.58,0.05,277,148.09,128.91
O00183,24-03-2025,C0572,P0158,S029,In-Store,1,106.61,0.2,85.29,58.87,26.42
O00184,02-09-2025,C0657,P0829,S010,In-Store,2,244.31,0,488.62,170.36,147.9
O00185,15-04-2025,C0662,P0868,Online,Online,2,207.53,0,415.06,131.45,152.16
O00186,15-06-2024,C0371,P0687,Online,Online,2,207.29,0.1,373.12,163.92,45.28
O00187,12-12-2025,C0109,P0133,Online,Online,2,50.24,0,100.48,28.1,44.28
O00188,18-08-2024,C0316,P0384,S040,In-Store,1,35.44,0,35.44,22.73,12.71
O00189,15-11-2025,C0087,P1167,S036,In-Store,1,55.44,0.2,44.35,27.8,16.55
O00190,09-10-2024,C0322,P0190,S000,In-Store,1,232.24,0.1,209.02,136.2,72.82
O00191,09-02-2025,C0407,P1024,Online,Online,1,22.98,0.2,18.38,15.49,2.89
O00192,16-09-2025,C0132,P0199,S057,In-Store,4,115.92,0,463.68,58.8,228.48
O00193,08-10-2024,C0793,P0307,Online,Online,3,184,0.2,441.6,142.29,14.73
O00194,27-04-2025,C0038,P0594,Online,Online,1,9.3,0.2,7.44,7.22,0.22
O00195,03-12-2024,C0640,P0191,S014,In-Store,1,208.21,0.05,197.8,136.59,61.21
O00196,10-07-2024,C0669,P0288,S010,In-Store,2,281.92,0.1,507.46,144.63,218.2
O00197,18-02-2025,C0134,P0694,Online,Online,2,156.82,0.2,250.91,89.41,72.09
O00198,04-03-2025,C0729,P0793,Online,Online,2,273.34,0,546.68,166.17,214.34
O00199,03-01-2025,C0580,P1018,Online,Online,1,167.01,0,167.01,129.58,37.43
O00200,01-02-2025,C0316,P1120,S051,In-Store,1,146.64,0,146.64,124.35,22.29
O00201,11-10-2024,C0465,P0642,Online,Online,2,258.83,0.1,465.89,171.06,123.77
O00202,09-09-2025,C0286,P1180,S005,In-Store,2,89.37,0,178.74,47.06,84.62
O00203,05-06-2025,C0790,P0943,Online,Online,1,181.12,0.2,144.9,104.17,40.73
O00204,11-12-2024,C0781,P0905,S008,In-Store,1,138.07,0,138.07,108.67,29.4
O00205,14-10-2025,C0499,P0081,S018,In-Store,1,102.43,0.2,81.94,60.34,21.6
O00206,26-08-2025,C0634,P0264,S032,In-Store,2,69.39,0.1,124.9,40.26,44.38
O00207,27-03-2025,C0698,P0846,S016,In-Store,4,257.54,0,1030.16,178.48,316.24
O00208,09-12-2025,C0659,P0116,S015,In-Store,2,196.71,0,393.42,166.99,59.44
O00209,06-08-2025,C0107,P0595,S036,In-Store,1,277.06,0.2,221.65,158.47,63.18
O00210,29-10-2025,C0228,P0795,S042,In-Store,2,255.38,0,510.76,133.58,243.6
O00211,07-10-2024,C0479,P1095,S029,In-Store,2,96.11,0,192.22,70.02,52.18
O00212,05-08-2024,C0749,P0221,S059,In-Store,2,58.35,0.2,93.36,48.73,-4.1
O00213,07-12-2024,C0204,P0822,S020,In-Store,2,79.83,0.1,143.69,55.27,33.15
O00214,31-12-2025,C0497,P0435,S030,In-Store,4,254.88,0,1019.52,186.13,275
O00215,30-11-2024,C0039,P1116,Online,Online,1,207.01,0.2,165.61,176.53,-10.92
O00216,28-06-2024,C0218,P0655,S038,In-Store,2,25.85,0.2,41.36,15.47,10.42
O00217,24-11-2025,C0370,P0880,S013,In-Store,1,166.53,0,166.53,97.2,69.33
O00218,16-02-2025,C0023,P0866,Online,Online,2,64.96,0.05,123.42,36.84,49.74
O00219,20-11-2024,C0070,P0560,S019,In-Store,1,59.02,0.2,47.22,33.92,13.3
O00220,20-05-2025,C0537,P0438,S016,In-Store,1,270.3,0.05,256.79,193.94,62.85
O00221,19-01-2025,C0094,P0877,S048,In-Store,1,238.06,0.1,214.25,179.66,34.59
O00222,01-12-2025,C0357,P0858,S034,In-Store,2,309.56,0.05,588.16,195.12,197.92
O00223,18-03-2025,C0447,P0726,S036,In-Store,2,268.98,0.2,430.37,185.66,59.05
O00224,20-07-2025,C0574,P1016,Online,Online,1,321,0.05,304.95,186.81,118.14
O00225,21-11-2025,C0751,P0648,Online,Online,2,240.95,0.2,385.52,137.75,110.02
O00226,05-10-2024,C0511,P0648,Online,Online,1,240.95,0.2,192.76,137.75,55.01
O00227,04-06-2024,C0739,P0007,S017,In-Store,1,276.22,0.05,262.41,166.73,95.68
O00228,15-01-2025,C0654,P1184,Online,Online,1,32.67,0.05,31.04,22.25,8.79
O00229,30-08-2025,C0192,P0860,S049,In-Store,1,179.4,0.05,170.43,107.07,63.36
O00230,02-11-2024,C0221,P0712,Online,Online,4,124,0.05,471.2,108.42,37.52
O00231,03-04-2025,C0590,P0029,S023,In-Store,2,37.24,0,74.48,28.6,17.28
O00232,03-04-2025,C0314,P1028,S007,In-Store,1,233.27,0.2,186.62,189.75,-3.13
O00233,28-08-2024,C0466,P0847,S022,In-Store,1,292.23,0.2,233.78,174.31,59.47
O00234,29-11-2025,C0783,P0687,Online,Online,3,207.29,0.05,590.78,163.92,99.02
O00235,03-01-2025,C0382,P0362,S010,In-Store,4,149.41,0.2,478.11,85.59,135.75
O00236,19-11-2025,C0675,P0895,S044,In-Store,1,205.55,0,205.55,156.32,49.23
O00237,15-02-2025,C0106,P0183,S039,In-Store,1,304.66,0.2,243.73,181.16,62.57
O00238,09-04-2025,C0767,P1115,Online,Online,3,265.8,0.2,637.92,159.26,160.14
O00239,02-02-2025,C0033,P0593,S013,In-Store,2,71.58,0.05,136,37.74,60.52
O00240,09-07-2025,C0564,P0780,Online,Online,1,253.19,0.2,202.55,194.67,7.88
O00241,04-03-2025,C0359,P0950,S052,In-Store,20,182.2,0.2,2915.2,106.54,784.4
O00242,10-04-2025,C0383,P0458,S017,In-Store,1,296.72,0.1,267.05,160.55,106.5
O00243,14-02-2025,C0480,P0849,S000,In-Store,2,111.61,0.2,178.58,66.13,46.32
O00244,04-07-2024,C0026,P0314,S053,In-Store,2,144.23,0.1,259.61,82.64,94.33
O00245,27-06-2024,C0585,P0880,Online,Online,2,166.53,0.2,266.45,97.2,72.05
O00246,14-07-2025,C0659,P0805,S051,In-Store,1,290.78,0.2,232.62,171.72,60.9
O00247,01-01-2025,C0651,P0799,Online,In-Store,2,61.07,0.2,97.71,55.27,-12.83
O00248,12-11-2025,C0529,P0324,S006,In-Store,1,96.35,0.05,91.53,52.75,38.78
O00249,16-09-2025,C0646,P1181,S053,In-Store,2,64.84,0.1,116.71,36.94,42.83
O00250,27-08-2024,C0162,P0660,Online,Online,1,161.23,0,161.23,128.05,33.18
O00251,27-11-2025,C0011,P0111,Online,Online,1,184.61,0,184.61,108.89,75.72
O00252,23-04-2025,C0025,P0267,S040,In-Store,1,349.07,0.1,314.16,193.29,120.87
O00253,21-02-2025,C0668,P0454,Online,Online,2,57.81,0.05,109.84,39.64,30.56
O00254,17-01-2025,C0526,P0774,S042,In-Store,2,58.03,0,116.06,36.05,43.96
O00255,20-08-2025,C0147,P0047,S037,In-Store,1,141,0,141,86.75,54.25
O00256,14-08-2025,C0610,P0251,Online,Online,2,201.63,0.1,362.93,102.77,157.39
O00257,11-08-2024,C0184,P0190,Online,Online,1,232.24,0.1,209.02,136.2,72.82
O00258,13-01-2025,C0212,P0800,Online,Online,1,100.39,0,100.39,78.13,22.26
O00259,09-02-2025,C0498,P0156,Online,Online,1,140.3,0.2,112.24,104.23,8.01
O00260,30-07-2024,C0321,P0923,S011,In-Store,4,73.26,0.1,263.74,64.43,6.02
O00261,21-11-2024,C0182,P1161,Online,In-Store,1,32.57,0,32.57,17.28,15.29
O00262,27-07-2024,C0351,P0710,S039,In-Store,3,23.5,0,70.5,14.07,28.29
O00263,01-05-2025,C0759,P0521,S012,In-Store,2,206.03,0,412.06,150.83,110.4
O00264,16-10-2025,C0530,P1048,S013,In-Store,2,60.3,0.1,108.54,41.7,25.14
O00265,17-10-2024,C0222,P0060,S014,In-Store,3,146.26,0,438.78,118.59,83.01
O00266,11-05-2025,C0129,P0548,Online,Online,2,209.52,0.05,398.09,186.82,24.45
O00267,06-06-2025,C0356,P1129,S029,In-Store,2,81.51,0.2,130.42,68.6,-6.78
O00268,03-02-2025,C0409,P0395,Online,Online,1,78.81,0.05,74.87,41.75,33.12
O00269,29-12-2025,C0734,P0575,S006,In-Store,3,101.87,0.1,275.05,80.73,32.86
O00270,26-05-2024,C0210,P0999,S028,In-Store,3,185.46,0.2,445.1,139.55,26.45
O00271,31-07-2024,C0278,P0652,S038,In-Store,1,171.03,0.2,136.82,96.8,40.02
O00272,30-10-2025,C0580,P0722,S040,In-Store,1,17.67,0,17.67,15.35,2.32
O00273,21-08-2025,C0034,P1047,Online,Online,1,126.31,0.2,101.05,79.41,21.64
O00274,11-07-2024,C0660,P1086,S001,In-Store,1,80.63,0,80.63,69.87,10.76
O00275,22-12-2024,C0330,P0879,S022,In-Store,1,168.21,0.05,159.8,148.84,10.96
O00276,28-05-2025,C0672,P0761,S049,In-Store,3,240.31,0.1,648.84,125.81,271.41
O00277,24-10-2025,C0326,P0022,S013,In-Store,1,124.36,0.2,99.49,104,-4.51
O00278,04-05-2025,C0329,P0476,S024,In-Store,1,52.23,0.1,47.01,43.43,3.58
O00279,16-02-2025,C0539,P0445,Online,Online,2,35.94,0.1,64.69,22.48,19.73
O00280,07-11-2025,C0687,P0153,S041,In-Store,2,56.67,0.2,90.67,28.68,33.31
O00281,22-01-2025,C0445,P0650,S012,In-Store,1,190.7,0.05,181.16,146.68,34.48
O00282,21-03-2025,C0505,P1021,Online,Online,1,176.65,0.1,158.99,110.79,48.2
O00283,20-05-2024,C0127,P0927,Online,Online,2,33.5,0.1,60.3,21.59,17.12
O00284,14-08-2024,C0242,P1180,Online,Online,3,89.37,0,268.11,47.06,126.93
O00285,03-09-2024,C0589,P0009,S018,In-Store,1,250.87,0.05,238.33,173.96,64.37
O00286,18-10-2024,C0412,P0075,S058,In-Store,1,199.17,0,199.17,145.35,53.82
O00287,03-10-2024,C0016,P0142,S053,In-Store,2,132.42,0.2,211.87,96.4,19.07
O00288,03-01-2025,C0281,P0649,S025,In-Store,1,266.25,0,266.25,181.85,84.4
O00289,29-10-2024,C0320,P1011,S025,In-Store,1,88.39,0.1,79.55,77.97,1.58
