product_id,product_name,category,brand,cost_price,unit_price,margin_pct
P0110,BrandB Not,Electronics,Brandc,170.81,280.19,0.3904
P0111,BrandA First,Electronics,Brandc,108.89,184.61,0.4102
P0112,BrandA Represent,Home & kitchen,Branda,170.67,314.05,0.4566
P0113,BrandA Company,Personal care,Brandc,128.94,238.0,0.4582
P0114,BrandB You,Personal care,Brandb,148.09,291.58,0.4921
P0115,BrandC Piece,Personal care,Brandd,89.94,158.11,0.4312
P0116,BrandC Sometimes,Home & kitchen,Brandb,166.99,196.71,0.1511
P0117,BrandD Hair,Apparel,Brandd,116.12,197.56,0.4122
P0118,BrandC Manager,Electronics,Brandd,170.94,216.01,0.2086
P0119,BrandB Quite,Home & kitchen,Brandc,71.37,135.05,0.4715
P0120,BrandC Arm,Electronics,Brandb,21.69,37.92,0.428
P0121,BrandD Stand,Apparel,Brandd,130.95,201.89,0.3514
P0122,BrandA Loss,Electronics,Brandc,48.21,83.05,0.4195
P0123,BrandC Word,Home & kitchen,Brandd,112.93,159.16,0.2905
P0124,BrandC Every,Home & kitchen,Brandd,57.83,76.7,0.246
P0125,BrandA Off,Apparel,Brandc,28.31,44.79,0.3679
P0126,BrandB History,Apparel,Brandb,149.03,201.02,0.2586
P0127,BrandC Another,Electronics,Brandb,62.77,89.43,0.2981
P0128,BrandC Look,Electronics,Brandb,58.49,115.63,0.4942
P0129,BrandC Let,Apparel,Brandd,25.0,27.78,0.1001
P0130,BrandC Trial,Personal care,Brandd,90.89,115.06,0.2101
P0131,BrandA Gas,Home & kitchen,Brandd,27.25,31.58,0.1371
P0132,BrandD Ever,Electronics,Branda,34.59,63.3,0.4536
P0133,BrandC Physical,Electronics,Brandb,28.1,50.24,0.4407
P0134,BrandB Step,Personal care,Brandd,182.16,249.13,0.2688
P0135,BrandD Especially,Home & kitchen,Branda,123.88,218.78,0.4338
P0136,BrandB Treat,Apparel,Brandc,133.78,166.07,0.1944
P0137,BrandB Money,Electronics,Brandb,5.52,8.31,0.3357
P0138,BrandD Prove,Home & kitchen,Branda,50.14,87.06,0.4241
P0139,BrandD Own,Electronics,Brandb,185.16,334.96,0.4472
P0140,BrandB Community,Personal care,Branda,111.19,187.12,0.4058
P0141,BrandC Hour,Apparel,Branda,16.63,30.16,0.4486
P0142,BrandC Factor,Personal care,Branda,96.4,132.42,0.272
P0143,BrandD Dark,Home & kitchen,Brandd,90.36,148.03,0.3896
P0144,BrandD Mind,Home & kitchen,Brandc,10.04,13.11,0.2342
P0145,BrandA Stay,Home & kitchen,Branda,153.81,193.44,0.2049
P0146,BrandD Church,Home & kitchen,Brandb,199.4,297.56,0.3299
P0147,BrandD Safe,Electronics,Brandd,72.85,101.99,0.2857
P0148,BrandA Particular,Apparel,Brandc,85.27,131.82,0.3531
P0149,BrandD Hot,Electronics,Brandd,22.17,29.42,0.2464
P0150,BrandA Serious,Personal care,Branda,133.24,211.63,0.3704
P0151,BrandD Side,Electronics,Brandb,106.1,176.17,0.3977
P0152,BrandD Growth,Personal care,Branda,44.69,71.25,0.3728
P0153,BrandC Surface,Personal care,Brandd,28.68,56.67,0.4939
P0154,BrandB Alone,Apparel,Brandc,112.41,179.52,0.3738
P0155,BrandA World,Apparel,Branda,94.98,114.52,0.1706
P0156,BrandB Smile,Personal care,Brandc,104.23,140.3,0.2571
P0157,BrandD Past,Personal care,Brandb,94.07,115.72,0.1871
P0158,BrandB Value,Apparel,Branda,58.87,106.61,0.4478
P0159,BrandD Some,Home & kitchen,Brandc,165.01,223.52,0.2618
P0160,BrandC Memory,Personal care,Brandb,92.08,141.43,0.3489
P0161,BrandC Least,Personal care,Brandd,186.91,351.88,0.4688
P0162,BrandB Onto,Personal care,Brandb,171.92,252.67,0.3196
P0163,BrandC Power,Personal care,Unknown,80.29,136.28,0.4108
P0164,BrandB Whatever,Personal care,Branda,29.62,58.32,0.4921
P0165,BrandC Establish,Electronics,Brandd,24.44,46.91,0.479
P0166,BrandA Human,Apparel,Brandd,174.83,344.93,0.4931
P0167,BrandA Early,Personal care,Brandc,71.02,122.4,0.4198
P0168,BrandA Mouth,Home & kitchen,Brandd,191.06,317.95,0.3991
P0169,BrandD Get,Electronics,Branda,50.78,87.14,0.4173
P0170,BrandC Education,Apparel,Unknown,89.62,106.52,0.1587
P0171,BrandA Sometimes,Personal care,Brandb,140.33,268.46,0.4773
P0172,BrandA Difficult,Home & kitchen,Branda,62.21,89.42,0.3043
P0173,BrandB Player,Apparel,Brandd,115.36,209.18,0.4485
P0174,BrandB Decide,Apparel,Branda,123.85,178.88,0.3076
P0175,BrandB Give,Personal care,Brandb,50.28,84.17,0.4026
P0176,BrandD Offer,Home & kitchen,Branda,180.29,273.81,0.3416
P0177,BrandC May,Apparel,Branda,91.14,128.6,0.2913
P0178,BrandC Use,Personal care,Brandc,94.08,129.07,0.2711
P0179,BrandD Product,Personal care,Branda,51.26,82.77,0.3807
P0180,BrandC Unit,Home & kitchen,Branda,195.7,331.2,0.4091
P0181,BrandC Card,Electronics,Branda,182.57,323.27,0.4352
P0182,BrandC Fund,Apparel,Brandc,47.71,60.65,0.2134
P0183,BrandC Direction,Apparel,Branda,181.16,304.66,0.4054
P0184,BrandC Think,Personal care,Branda,118.02,207.61,0.4315
P0185,BrandA Mind,Home & kitchen,Brandc,150.76,189.67,0.2051
P0186,BrandB Who,Home & kitchen,Brandc,166.94,222.24,0.2488
P0187,BrandD Party,Home & kitchen,Brandc,161.83,246.22,0.3427
P0188,BrandA Strong,Apparel,Brandb,172.73,302.59,0.4292
P0189,BrandD Tax,Home & kitchen,Branda,159.18,177.09,0.1011
P0190,BrandA Middle,Personal care,Brandc,136.2,232.24,0.4135
P0191,BrandD Face,Home & kitchen,Branda,136.59,208.21,0.344
P0192,BrandC Become,Apparel,Branda,128.9,195.65,0.3412
P0193,BrandC Nothing,Personal care,Branda,32.26,62.96,0.4876
P0194,BrandC In,Personal care,Branda,23.95,45.47,0.4733
P0195,BrandB Care,Personal care,Brandd,77.35,151.18,0.4884
P0196,BrandD Strategy,Apparel,Brandd,132.71,245.56,0.4596
P0197,BrandD Campaign,Home & kitchen,Branda,139.6,180.86,0.2281
P0198,BrandD Instead,Apparel,Brandc,24.37,41.85,0.4177
P0199,BrandC Grow,Electronics,Brandd,58.8,115.92,0.4928
P0200,BrandD While,Electronics,Brandb,130.13,213.08,0.3893
P0201,BrandA Good,Electronics,Brandc,52.5,63.7,0.1758
P0202,BrandB Simple,Electronics,Brandb,119.34,218.6,0.4541
P0203,BrandB Since,Home & kitchen,Brandb,158.79,259.84,0.3889
P0204,BrandC Right,Apparel,Brandb,110.34,200.67,0.4501
P0205,BrandA Congress,Electronics,Brandb,7.9,14.31,0.4479
P0206,BrandB Police,Home & kitchen,Branda,38.98,44.72,0.1284
P0207,BrandD Use,Electronics,Branda,97.87,176.19,0.4445
P0208,BrandA Situation,Personal care,Brandb,189.36,215.69,0.1221
P0209,BrandC Over,Personal care,Branda,16.86,25.81,0.3468
P0210,BrandD Discuss,Personal care,Branda,100.6,193.02,0.4788
P0211,BrandA Middle,Electronics,Brandc,123.62,143.29,0.1373
P0212,BrandC Finally,Home & kitchen,Brandd,198.95,313.84,0.3661
P0213,BrandD Young,Personal care,Branda,159.65,192.05,0.1687
P0214,BrandB Apply,Personal care,Brandd,178.18,262.36,0.3209
P0215,BrandD Whom,Personal care,Brandd,147.27,203.42,0.276
P0216,BrandC Between,Home & kitchen,Brandc,190.95,328.08,0.418
P0217,BrandD Husband,Electronics,Branda,167.2,197.95,0.1553
P0218,BrandA Child,Home & kitchen,Brandb,113.49,184.74,0.3857
P0219,BrandC Radio,Electronics,Brandd,73.95,125.63,0.4114
P0220,BrandD Artist,Electronics,Brandc,122.08,172.92,0.294
P0221,BrandB Network,Apparel,Brandd,48.73,58.35,0.1649
P0222,BrandC Business,Electronics,Brandc,116.95,213.61,0.4525
P0223,BrandA Song,Home & kitchen,Branda,40.18,69.61,0.4228
P0224,BrandC Mouth,Home & kitchen,Brandc,6.19,11.66,0.4691
P0225,BrandD Week,Electronics,Brandb,149.49,295.19,0.4936
P0226,BrandA Other,Apparel,Brandd,86.87,122.21,0.2892
P0227,BrandC Recent,Home & kitchen,Brandc,156.48,252.06,0.3792
P0228,BrandA Herself,Electronics,Brandb,35.69,59.1,0.3961
P0229,BrandA Degree,Home & kitchen,Brandd,134.08,206.09,0.3494
P0230,BrandD Car,Personal care,Brandc,47.04,73.43,0.3594
P0231,BrandC Part,Personal care,Branda,60.23,103.03,0.4154
P0232,BrandD Poor,Home & kitchen,Branda,48.0,95.33,0.4965
P0233,BrandA Relationship,Electronics,Brandb,63.78,82.28,0.2248
P0234,BrandB Cup,Home & kitchen,Brandc,68.98,76.36,0.0966
P0235,BrandD List,Apparel,Brandb,79.14,137.17,0.4231
P0236,BrandC Still,Electronics,Brandd,173.04,196.93,0.1213
P0237,BrandA During,Personal care,Branda,173.11,280.12,0.382
P0238,BrandD Say,Personal care,Brandc,27.46,30.72,0.1061
P0239,BrandC Market,Apparel,Brandd,167.25,322.42,0.4813
P0240,BrandA Real,Personal care,Unknown,52.45,85.49,0.3865
P0241,BrandA Town,Personal care,Brandc,150.43,195.47,0.2304
P0242,BrandB Report,Electronics,Branda,108.47,138.25,0.2154
P0243,BrandC Who,Home & kitchen,Unknown,51.07,62.91,0.1882
P0244,BrandB Walk,Apparel,Brandb,153.24,258.97,0.4083
P0245,BrandB We,Personal care,Brandd,152.12,271.37,0.4394
P0246,BrandD Social,Home & kitchen,Brandc,34.44,40.0,0.139
P0247,BrandD Hundred,Home & kitchen,Brandc,120.33,170.48,0.2942
P0248,BrandA Teacher,Home & kitchen,Brandd,93.12,107.2,0.1313
P0249,BrandC Firm,Electronics,Branda,124.93,194.44,0.3575
P0250,BrandD Hard,Electronics,Brandd,182.26,294.26,0.3806
P0251,BrandB Task,Home & kitchen,Brandd,102.77,201.63,0.4903
P0252,BrandD Do,Electronics,Brandc,196.57,231.15,0.1496
P0253,BrandB Someone,Electronics,Brandb,142.99,284.82,0.498
P0254,BrandB Least,Home & kitchen,Brandc,184.0,266.56,0.3097
P0255,BrandC Exactly,Electronics,Brandc,17.85,21.15,0.156
P0256,BrandD Now,Home & kitchen,Brandc,146.13,247.09,0.4086
P0257,BrandB Mean,Home & kitchen,Branda,118.63,145.59,0.1852
P0258,BrandC Rise,Home & kitchen,Brandd,30.15,52.4,0.4246
P0259,BrandA Current,Home & kitchen,Brandd,130.48,182.1,0.2835
P0260,BrandB Thought,Electronics,Brandd,104.16,116.29,0.1043
P0261,BrandC Serve,Apparel,Brandb,71.64,128.2,0.4412
P0262,BrandB Speak,Apparel,Brandb,35.21,48.1,0.268
P0263,BrandA Candidate,Electronics,Brandc,175.9,291.33,0.3962
P0264,BrandD Pretty,Apparel,Brandb,40.26,69.39,0.4198
P0265,BrandB Line,Personal care,Branda,85.12,145.45,0.4148
P0266,BrandB Often,Personal care,Brandc,151.72,273.92,0.4461
P0267,BrandB Edge,Apparel,Brandc,193.29,349.07,0.4463
P0268,BrandB Reason,Home & kitchen,Brandd,95.03,128.63,0.2612
P0269,BrandD Give,Personal care,Brandb,164.29,299.19,0.4509
P0270,BrandB Person,Home & kitchen,Branda,130.03,245.33,0.47
P0271,BrandA How,Electronics,Brandc,21.36,26.58,0.1964
P0272,BrandD Political,Apparel,Brandd,22.88,43.92,0.4791
P0273,BrandD Continue,Home & kitchen,Branda,85.9,125.14,0.3136
P0274,BrandC Upon,Apparel,Brandd,198.93,285.95,0.3043
P0275,BrandA Similar,Home & kitchen,Branda,168.64,284.15,0.4065
P0276,BrandB Near,Apparel,Branda,60.94,112.54,0.4585
P0277,BrandB Management,Personal care,Unknown,124.99,239.39,0.4779
P0278,BrandA Tough,Home & kitchen,Brandb,167.82,267.49,0.3726
P0279,BrandD Significant,Electronics,Brandc,51.34,62.1,0.1733
P0280,BrandB Itself,Personal care,Brandd,17.25,31.96,0.4603
P0281,BrandD Force,Electronics,Brandb,145.12,197.67,0.2658
P0282,BrandA Where,Home & kitchen,Brandb,116.28,147.51,0.2117
P0283,BrandA Outside,Home & kitchen,Branda,190.91,303.48,0.3709
P0284,BrandA Become,Personal care,Brandd,13.49,19.54,0.3096
P0285,BrandC Everybody,Home & kitchen,Branda,74.63,86.63,0.1385
P0286,BrandB Film,Electronics,Brandc,31.01,43.94,0.2943
P0287,BrandC Arm,Apparel,Brandd,196.26,300.41,0.3467
P0288,BrandB Owner,Apparel,Branda,144.63,281.92,0.487
P0289,BrandA Toward,Home & kitchen,Brandb,13.54,17.32,0.2182
P0290,BrandA Ball,Home & kitchen,Brandc,105.5,209.97,0.4975
P0291,BrandD Memory,Home & kitchen,Branda,151.89,193.2,0.2138
P0292,BrandC Use,Electronics,Brandc,58.28,106.04,0.4504
P0293,BrandD President,Personal care,Brandd,179.45,259.84,0.3094
P0294,BrandB Whatever,Personal care,Brandd,76.63,139.28,0.4498
P0295,BrandC Right,Electronics,Brandd,20.39,33.48,0.391
P0296,BrandB Popular,Home & kitchen,Brandc,25.01,34.89,0.2832
P0297,BrandC Staff,Home & kitchen,Brandd,122.51,181.74,0.3259
P0298,BrandD Open,Home & kitchen,Brandd,13.26,24.97,0.469
P0299,BrandC Involve,Personal care,Brandc,129.7,235.06,0.4482
P0300,BrandA Still,Electronics,Brandd,75.85,138.12,0.4508
P0301,BrandB Those,Electronics,Brandb,170.49,291.59,0.4153
P0302,BrandD Player,Electronics,Brandb,18.11,32.61,0.4446
P0303,BrandC Blood,Home & kitchen,Brandd,190.15,214.71,0.1144
P0304,BrandB Treatment,Personal care,Brandc,77.54,138.55,0.4403
P0305,BrandB Best,Home & kitchen,Brandd,66.31,89.57,0.2597
P0306,BrandA Federal,Electronics,Brandb,102.31,148.17,0.3095
P0307,BrandA Him,Home & kitchen,Brandc,142.29,184.0,0.2267
P0308,BrandC Adult,Personal care,Brandb,28.91,53.99,0.4645
P0309,BrandD Partner,Apparel,Brandd,199.47,364.92,0.4534
P0310,BrandC Policy,Home & kitchen,Branda,112.25,152.81,0.2654
P0311,BrandC Sign,Apparel,Brandb,159.77,248.9,0.3581
P0312,BrandA Already,Apparel,Brandb,51.16,79.02,0.3526
P0313,BrandC Trial,Home & kitchen,Brandd,161.71,258.17,0.3736
P0314,BrandA Check,Electronics,Brandc,82.64,144.23,0.427
P0315,BrandD Gas,Personal care,Brandd,165.55,193.09,0.1426
P0316,BrandC Start,Electronics,Brandd,95.84,150.05,0.3613
P0317,BrandB None,Apparel,Brandb,89.36,171.54,0.4791
P0318,BrandA Mean,Electronics,Brandb,64.3,80.1,0.1973
P0319,BrandB Role,Home & kitchen,Brandc,169.96,225.29,0.2456
P0320,BrandC Summer,Apparel,Brandc,124.81,147.79,0.1555
P0321,BrandB Usually,Apparel,Unknown,133.45,233.35,0.4281
P0322,BrandC Tree,Electronics,Branda,20.84,40.71,0.4881
P0323,BrandC Rate,Apparel,Unknown,125.53,141.5,0.1129
P0324,BrandC Somebody,Home & kitchen,Brandd,52.75,96.35,0.4525
P0325,BrandD Religious,Home & kitchen,Brandd,19.23,22.19,0.1334
P0326,BrandD Half,Personal care,Brandd,95.57,134.39,0.2889
P0327,BrandB Head,Home & kitchen,Brandc,148.17,277.77,0.4666
P0328,BrandD Worry,Apparel,Brandc,105.42,126.04,0.1636
P0329,BrandB Build,Personal care,Branda,57.16,75.63,0.2442
P0330,BrandA Trouble,Electronics,Brandc,189.35,355.55,0.4674
P0331,BrandD Machine,Apparel,Brandb,163.63,317.5,0.4846
P0332,BrandC Number,Apparel,Unknown,102.16,159.7,0.3603
P0333,BrandD Something,Home & kitchen,Brandd,9.52,18.57,0.4873
P0334,BrandD While,Apparel,Brandb,118.75,135.83,0.1257
P0335,BrandC Environment,Personal care,Brandd,60.72,67.24,0.097
P0336,BrandA Feel,Personal care,Brandb,177.08,310.73,0.4301
P0337,BrandD Turn,Home & kitchen,Branda,83.11,134.08,0.3801
P0338,BrandB Read,Home & kitchen,Brandc,19.34,30.05,0.3564
P0339,BrandC Lawyer,Electronics,Brandb,195.14,283.83,0.3125
P0340,BrandC Group,Home & kitchen,Brandb,43.82,68.28,0.3582
P0341,BrandA Now,Electronics,Branda,31.72,44.4,0.2856
P0342,BrandD Church,Personal care,Unknown,123.22,192.71,0.3606
P0343,BrandC Computer,Home & kitchen,Brandb,81.63,135.09,0.3957
P0344,BrandC Including,Home & kitchen,Unknown,143.2,196.16,0.27
P0345,BrandA Model,Home & kitchen,Brandc,136.39,270.31,0.4954
P0346,BrandC And,Electronics,Brandd,56.78,95.96,0.4083
P0347,BrandB Camera,Electronics,Brandd,38.25,63.73,0.3998
P0348,BrandD Sport,Apparel,Brandb,11.16,21.8,0.4881
P0349,BrandA Base,Apparel,Branda,91.0,134.4,0.3229
P0350,BrandD Either,Apparel,Brandd,102.85,169.74,0.3941
P0351,BrandD Debate,Electronics,Brandb,106.14,170.33,0.3769
P0352,BrandD Place,Personal care,Brandc,191.55,289.95,0.3394
P0353,BrandC Might,Home & kitchen,Brandc,123.96,157.81,0.2145
P0354,BrandB Memory,Home & kitchen,Unknown,48.85,96.51,0.4938
P0355,BrandC Part,Home & kitchen,Unknown,139.6,215.0,0.3507
P0356,BrandD Interest,Home & kitchen,Brandc,61.12,98.78,0.3813
P0357,BrandD Animal,Personal care,Brandc,191.15,348.69,0.4518
P0358,BrandC Fight,Electronics,Unknown,191.29,224.02,0.1461
P0359,BrandD Machine,Home & kitchen,Brandd,46.73,86.22,0.458
P0360,BrandC Table,Home & kitchen,Brandb,26.3,46.47,0.434
P0361,BrandB Mrs,Apparel,Branda,135.62,214.0,0.3663
P0362,BrandB Understand,Electronics,Unknown,85.59,149.41,0.4271
P0363,BrandA Benefit,Apparel,Branda,193.08,382.32,0.495
P0364,BrandB Evidence,Personal care,Brandd,98.1,125.52,0.2185
P0365,BrandC Through,Home & kitchen,Brandc,130.95,251.05,0.4784
P0366,BrandA Yeah,Apparel,Branda,183.08,230.23,0.2048
P0367,BrandB Why,Electronics,Unknown,158.65,201.12,0.2112
P0368,BrandC Major,Electronics,Branda,63.19,103.79,0.3912
P0369,BrandC Piece,Home & kitchen,Brandd,197.87,314.41,0.3707
P0370,BrandD Economy,Apparel,Brandd,58.2,106.39,0.453
P0371,BrandC Range,Apparel,Brandd,131.42,229.56,0.4275
P0372,BrandA Or,Home & kitchen,Brandc,115.72,206.16,0.4387
P0373,BrandB Environment,Personal care,Brandd,105.48,124.26,0.1511
P0374,BrandA Generation,Apparel,Brandb,98.1,190.53,0.4851
P0375,BrandA Research,Home & kitchen,Brandd,50.93,90.57,0.4377
P0376,BrandC Hard,Home & kitchen,Branda,56.0,79.72,0.2975
P0377,BrandB Set,Electronics,Unknown,95.75,119.09,0.196
P0378,BrandC Himself,Electronics,Brandc,76.67,99.58,0.2301
P0379,BrandB Outside,Personal care,Brandb,93.72,186.5,0.4975
P0380,BrandC Raise,Personal care,Unknown,152.68,278.15,0.4511
P0381,BrandB Someone,Apparel,Branda,107.47,169.3,0.3652
P0382,BrandC Family,Electronics,Branda,17.04,27.14,0.3721
P0383,BrandB Finally,Apparel,Brandb,68.98,108.18,0.3624
P0384,BrandA Commercial,Apparel,Brandd,22.73,35.44,0.3586
P0385,BrandA Door,Personal care,Brandb,105.08,158.79,0.3382
P0386,BrandA Recent,Personal care,Brandc,146.04,212.69,0.3134
P0387,BrandA Happen,Apparel,Branda,13.83,19.5,0.2908
P0388,BrandA Scene,Electronics,Branda,197.3,300.86,0.3442
P0389,BrandC Occur,Personal care,Brandb,154.95,277.24,0.4411
P0390,BrandD Minute,Home & kitchen,Unknown,92.46,178.02,0.4806
P0391,BrandD Different,Personal care,Branda,138.13,234.22,0.4103
P0392,BrandB Must,Home & kitchen,Branda,39.8,63.02,0.3685
P0393,BrandB Put,Apparel,Branda,152.45,301.95,0.4951
P0394,BrandD Set,Personal care,Brandd,165.56,219.0,0.244
P0395,BrandC Charge,Apparel,Brandc,41.75,78.81,0.4702
